,0,1,2
329,BX1,122400,2014-08-08 20:41:05
330,BX1,124800,2014-08-08 20:41:17
331,BX1,117300,2014-08-08 20:41:26
332,BX1,117900,2014-08-08 20:41:26
333,BX1,122400,2014-08-08 20:41:35
334,BX1,122400,2014-08-08 20:41:36
335,BX1,121000,2014-08-08 20:41:37
336,BX1,120900,2014-08-08 20:41:43
337,BX1,124800,2014-08-08 20:41:51
338,BX1,117300,2014-08-08 20:41:58
339,BX1,117900,2014-08-08 20:41:58
340,BX1,124800,2014-08-08 20:42:24
341,BX1,117300,2014-08-08 20:42:29
342,BX1,117900,2014-08-08 20:42:29
343,BX1,122400,2014-08-08 20:42:38
344,BX1,121000,2014-08-08 20:42:39
345,BX1,122400,2014-08-08 20:42:39
346,BX1,120900,2014-08-08 20:42:47
347,BX1,117300,2014-08-08 20:43:01
348,BX1,124800,2014-08-08 20:43:31
349,BX1,117900,2014-08-08 20:43:32
350,BX1,122400,2014-08-08 20:43:41
351,BX1,121000,2014-08-08 20:43:42
352,BX1,122400,2014-08-08 20:43:43
353,BX1,120900,2014-08-08 20:43:50
354,BX1,121000,2014-08-08 20:44:13
355,BX1,120900,2014-08-08 20:44:22
356,BX1,117900,2014-08-08 20:44:34
357,BX1,124800,2014-08-08 20:44:37
358,BX1,121000,2014-08-08 20:44:45
359,BX1,122400,2014-08-08 20:44:45
360,BX1,122400,2014-08-08 20:44:45
361,BX1,124800,2014-08-08 20:45:11
362,BX1,122400,2014-08-08 20:45:16
363,BX1,122400,2014-08-08 20:45:17
364,BX1,120900,2014-08-08 20:45:26
365,BX1,117900,2014-08-08 20:45:38
366,BX1,124800,2014-08-08 20:45:42
367,BX1,117900,2014-08-08 20:46:10
368,BX1,124800,2014-08-08 20:46:13
369,BX1,122400,2014-08-08 20:46:20
370,BX1,122400,2014-08-08 20:46:20
371,BX1,121000,2014-08-08 20:46:22
372,BX1,120900,2014-08-08 20:46:30
373,BX1,121000,2014-08-08 20:46:57
